Title|Year|Genre|Avg Ratings|Votes|Gross
Destination Wedding|(2018)|Comedy,Drama,Romance|6.0|27,302|
The Happytime Murders|(2018)|Action,Comedy,Crime|5.4|26,635|$20.71M
Mowgli: Legend of the Jungle|(2018)|Adventure,Drama,Fantasy|6.5|59,465|
All Summers End|(2017)|Drama,Romance|6.1|2,285|
Dear Dictator|(2017)|Comedy|5.0|4,964|
Bumblebee|(I) (2018)|Action,Adventure,Sci-Fi|6.7|152,109|$127.20M
Benched|(2018)|Drama,Sport|5.1|250|
Brain on Fire|(2016)|Biography,Drama|6.6|20,010|
Dog Days|(I) (2018)|Comedy,Drama,Romance|6.2|4,628|$6.81M
Dumbo|(2019)|Adventure,Family,Fantasy|6.3|71,258|$114.77M
Like Father|(2018)|Comedy,Drama|6.1|20,622|
Tau|(2018)|Sci-Fi,Thriller|5.8|29,566|
How It Ends|(2018)|Action,Drama,Mystery|5.0|47,633|
Slender Man|(2018)|Horror,Mystery,Thriller|3.2|31,871|$30.57M
The Hate U Give|(2018)|Crime,Drama|7.5|33,925|$29.72M
Wonder Park|(2019)|Animation,Adventure,Comedy|5.9|11,380|$45.22M
Goosebumps 2: Haunted Halloween|(2018)|Animation,Adventure,Comedy|5.6|19,784|$46.70M
The Package|(II) (2018)|Comedy,Thriller|5.5|16,030|
Welcome to Marwen|(2018)|Biography,Comedy,Drama|6.2|22,473|$10.76M
Glass|(2019)|Drama,Sci-Fi,Thriller|6.6|225,995|$111.05M
Shazam!|(2019)|Action,Adventure,Comedy|7.0|298,741|$140.37M
Aquaman|(2018)|Action,Adventure,Fantasy|6.9|419,979|$335.06M
Final Score|(2018)|Action,Drama,Thriller|5.8|11,219|
Sierra Burgess Is a Loser|(2018)|Comedy,Drama,Romance|5.7|37,410|
Jungle Cruise|(2021)|Action,Adventure,Comedy|6.6|118,934|
To All the Boys I've Loved Before|(2018)|Comedy,Drama,Romance|7.1|97,721|
Godzilla: King of the Monsters|(2019)|Action,Adventure,Fantasy|6.0|168,329|$110.50M
Nappily Ever After|(2018)|Comedy,Drama,Romance|6.4|8,840|
Next Gen|(I) (2018)|Animation,Action,Adventure|6.6|16,195|
Paper Year|(2018)|Drama,Romance|5.2|717|
Summer '03|(2018)|Comedy,Drama,Romance|5.5|3,165|$17.52M
Ben Is Back|(2018)|Drama|6.7|20,249|$3.70M
Forever My Girl|(2018)|Comedy,Drama,Music|6.7|16,350|$16.38M
Irreplaceable You|(2018)|Comedy,Drama,Romance|6.4|9,105|
Crazy Rich Asians|(2018)|Comedy,Drama,Romance|6.9|157,176|$174.53M
The Oath|(2018)|Comedy,Thriller|5.5|4,589|$0.40M
Instant Family|(2018)|Comedy,Drama|7.3|99,985|$67.36M
Anna and the Apocalypse|(2017)|Comedy,Horror,Musical|6.1|11,977|$0.55M
Teen Spirit|(2018)|Drama,Music|6.1|8,432|$0.44M
