Title|Year|Genre|Avg Ratings|Votes|Gross
Feels Good Man|(2020)|Documentary,Animation,Comedy|7.6|4,123|
The Devil All the Time|(2020)|Crime,Drama,Thriller|7.1|114,765|
All Together Now|(2020)|Drama|6.5|3,877|
Love, Guaranteed|(2020)|Comedy,Romance|5.6|15,933|
The Suicide Squad|(2021)|Action,Adventure,Comedy|7.3|237,850|
Enola Holmes|(2020)|Action,Adventure,Crime|6.6|151,170|
The Babysitter: Killer Queen|(2020)|Comedy,Horror|5.8|33,978|
Chemical Hearts|(2020)|Drama,Romance|6.3|11,083|
Love and Monsters|(I) (2020)|Action,Adventure,Comedy|7.0|110,624|
The Craft: Legacy|(2020)|Drama,Fantasy,Horror|4.4|11,052|
Happiest Season|(2020)|Comedy,Crime,Drama|6.6|31,541|
Freaky|(2020)|Comedy,Horror,Thriller|6.4|46,335|
Chaos Walking|(2021)|Action,Adventure,Fantasy|5.8|34,851|
The Midnight Sky|(2020)|Drama,Fantasy,Sci-Fi|5.6|78,415|
Boss Level|(2020)|Action,Mystery,Sci-Fi|6.8|52,709|
Don't Look Up|(2021)|Comedy,Drama,Sci-Fi|||
Shadow in the Cloud|(2020)|Action,Horror,War||21,939|
To All the Boys: Always and Forever|(2021)|Comedy,Drama,Romance||21,289|
The Kissing Booth 3|(2021)|Comedy,Romance||12,804|
The Ultimate Playlist of Noise|(2021)|Comedy,Drama,Music||822|
Words on Bathroom Walls|(2020)|Drama,Romance||7,349|
